year,month,primary_sector,turnover_eur,num_taxpayers
2021.0,1.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,31618.23,3.0
2024.0,2.0,"Aktivitetet profesionale, shkencore dhe teknike",6656.78,3.0
2019.0,11.0,Industria perpunuese,35023.55,6.0
2024.0,10.0,Ndertimtaria,8782.85,5.0
2022.0,7.0,Ndertimtaria,2930.0,1.0
2025.0,1.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,7548.41,3.0
2020.0,5.0,Industria perpunuese,211278.18,3.0
2019.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,28270.83,1.0
2023.0,4.0,"Artet, Argetimi dhe rekreacioni",3331.38,1.0
2020.0,1.0,"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",0.0,1.0
2022.0,1.0,Transporti dhe magazinimi,3716.11,1.0
2024.0,3.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,56996.58,4.0
2024.0,10.0,Industria perpunuese,172.88,2.0
2025.0,3.0,Sherbimet administrative dhe mbeshtetese,18600.0,2.0
2021.0,4.0,"Aktivitetet profesionale, shkencore dhe teknike",262363.3,9.0
2025.0,12.0,Industria perpunuese,34124.47,1.0
2020.0,10.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,9027.95,1.0
2019.0,9.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,75780.17,1.0
2022.0,12.0,Industria perpunuese,26689.96,1.0
2022.0,8.0,Akomodimi dhe sherbimi ushqimor,97192.91,6.0
2020.0,7.0,Ndertimtaria,644.07,1.0
2025.0,9.0,Aktivitetet e tjera sherbyese,0.0,1.0
2020.0,9.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,0.0,1.0
2020.0,4.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,4726.21,1.0
2025.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,129176.8,13.0
2022.0,7.0,"Aktivitetet profesionale, shkencore dhe teknike",22017.59,2.0
2022.0,9.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,31922.07,5.0
2021.0,9.0,Arsimi,2724.62,3.0
2021.0,8.0,Aktivitetet e shendetit te njeriut dhe te punes sociale,41974.88,1.0
2024.0,5.0,Industria perpunuese,171830.25,3.0
2025.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,173462.71,4.0
2022.0,8.0,Ndertimtaria,0.0,2.0
2021.0,3.0,Ndertimtaria,1805.0,2.0
2022.0,8.0,Transporti dhe magazinimi,1771.19,1.0
2023.0,6.0,Sherbimet administrative dhe mbeshtetese,204778.12,6.0
2022.0,1.0,Bujqesia;Pylltaria dhe Peshkimi,796.61,2.0
2023.0,2.0,Bujqesia;Pylltaria dhe Peshkimi,64567.52,1.0
2022.0,10.0,Aktivitetet e shendetit te njeriut dhe te punes sociale,6410.0,1.0
2022.0,5.0,Ndertimtaria,296.61,1.0
2021.0,9.0,Industria perpunuese,86924.97,19.0
2025.0,6.0,Industria nxjerrese,3377.0,1.0
2020.0,9.0,Industria perpunuese,2250.0,1.0
2023.0,3.0,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,809.0,1.0
2020.0,2.0,"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",80583.74,4.0
2024.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,4914.91,2.0
2021.0,6.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,196475.43,2.0
2020.0,10.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,81778.75,4.0
2020.0,6.0,Industria perpunuese,6048.48,2.0
2025.0,7.0,Ndertimtaria,0.0,2.0
2020.0,9.0,Aktivitetet e shendetit te njeriut dhe te punes sociale,5585.0,1.0
2025.0,3.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,354021.24,6.0
2024.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,102680.04,4.0
