year,month,municipality,turnover_eur,num_taxpayers
2021.0,8.0,SKENDERAJ,42864.62,2.0
2022.0,5.0,PRIZREN,1765.9,2.0
2023.0,5.0,PRIZREN,45602.5,1.0
2022.0,8.0,OBILIQ,22775.95,1.0
2023.0,11.0,VUSHTRRI,21186.44,2.0
2020.0,8.0,GJAKOVË,0.0,2.0
2019.0,3.0,FERIZAJ,481.0,3.0
2019.0,3.0,PRISHTINË,0.0,1.0
2020.0,5.0,FUSHË KOSOVË,11589.99,1.0
2021.0,5.0,PRISHTINË,67141.19,3.0
2019.0,10.0,PEJË,326152.6,1.0
2025.0,5.0,FERIZAJ,15284.05,4.0
2024.0,1.0,PRISHTINË,319835.0,1.0
2019.0,1.0,MITROVICË,59481.56,1.0
2023.0,10.0,FERIZAJ,102763.43,6.0
2022.0,6.0,FUSHË KOSOVË,4620.0,1.0
2025.0,1.0,VITI,17853.47,2.0
2022.0,10.0,PODUJEVË,5812.03,2.0
2023.0,11.0,FUSHË KOSOVË,4002.07,1.0
2023.0,7.0,FUSHË KOSOVË,142865.52,3.0
2025.0,3.0,GJAKOVË,78109.63,14.0
2021.0,6.0,DEÇAN,1260.0,2.0
2025.0,11.0,PRIZREN,285989.16,11.0
2021.0,6.0,FERIZAJ,5847.5,4.0
2025.0,10.0,SUHAREKË,759.92,1.0
2019.0,7.0,DRAGASH,2211.86,1.0
2023.0,6.0,PRISHTINË,596831.05,1.0
2021.0,10.0,MALISHEVË,72428.62,3.0
2024.0,12.0,RAHOVEC,0.0,6.0
2023.0,8.0,PRIZREN,0.0,1.0
2025.0,8.0,MALISHEVË,0.0,1.0
2023.0,11.0,KLLOKOT,1496916.9,1.0
2024.0,9.0,MITROVICË VERIORE,4356.5,2.0
2020.0,4.0,KLLOKOT,6264.5,1.0
2025.0,12.0,VUSHTRRI,3579.7,1.0
2022.0,11.0,KAÇANIK,0.0,1.0
2023.0,12.0,PRIZREN,2471.52,1.0
2024.0,5.0,SHTIME,8950.0,1.0
2019.0,5.0,MITROVICË VERIORE,1100.0,1.0
2019.0,5.0,KAMENICË,49863.41,1.0
2023.0,9.0,FUSHË KOSOVË,2085.82,4.0
2020.0,3.0,PRIZREN,4323.25,2.0
2019.0,1.0,FERIZAJ,828267.42,2.0
2021.0,10.0,PRIZREN,43704.5,2.0
2025.0,10.0,SHTIME,553375.99,4.0
2020.0,8.0,GJILAN,6343.21,2.0
2021.0,4.0,GRAÇANICË,127118.64,1.0
2023.0,5.0,FUSHË KOSOVË,80373.42,4.0
2025.0,4.0,MITROVICË,33898.3,2.0
2022.0,12.0,RAHOVEC,77845.0,2.0
2025.0,9.0,OBILIQ,2102365.62,2.0
2023.0,2.0,FERIZAJ,993.75,1.0
2024.0,11.0,VITI,0.0,1.0
2021.0,12.0,PRISHTINË,0.0,2.0
2022.0,6.0,KLINË,84504.91,1.0
2025.0,7.0,GLLOGOC,17685.18,1.0
2022.0,3.0,PRISHTINË,123945.0,2.0
2023.0,3.0,GJAKOVË,0.0,1.0
2020.0,7.0,PODUJEVË,2188399.0,11.0
2024.0,8.0,KAMENICË,27490.57,3.0
2020.0,4.0,RAHOVEC,3410.16,2.0
2021.0,4.0,DRAGASH,40455.24,1.0
2019.0,1.0,GJAKOVË,1658.9,2.0
2019.0,1.0,GJAKOVË,217226.22,16.0
2020.0,9.0,PRIZREN,413178.54,5.0
2025.0,5.0,GRAÇANICË,6084.75,1.0
2021.0,7.0,MALISHEVË,4677.96,1.0
2023.0,2.0,VUSHTRRI,1853.85,4.0
2020.0,3.0,KAÇANIK,450.0,3.0
2025.0,4.0,GRAÇANICË,0.0,1.0
2019.0,2.0,LIPJAN,25487.57,1.0
2025.0,9.0,ZVEÇAN,0.0,1.0
2021.0,1.0,PRIZREN,5605.93,1.0
2023.0,10.0,LIPJAN,6984.59,2.0
2023.0,7.0,VITI,65558.06,4.0
2022.0,8.0,PRIZREN,3940.68,1.0
2021.0,7.0,LIPJAN,384145.93,5.0
2023.0,4.0,FUSHË KOSOVË,5015889.2,3.0
2022.0,1.0,GJILAN,5020.34,6.0
2025.0,2.0,DEÇAN,16953.99,1.0
2021.0,3.0,FERIZAJ,3721.82,5.0
2020.0,6.0,PRIZREN,12766.06,2.0
2020.0,8.0,FERIZAJ,3156.95,1.0
2019.0,2.0,OBILIQ,3201.85,5.0
2020.0,11.0,PRIZREN,55320.16,2.0
2022.0,5.0,PRIZREN,3267.62,2.0
2019.0,4.0,GLLOGOC,9363.04,1.0
2020.0,10.0,SKENDERAJ,97301.19,6.0
2019.0,8.0,GJILAN,6272.03,1.0
2023.0,8.0,KLINË,9322.04,3.0
2019.0,4.0,SKENDERAJ,663.15,1.0
2021.0,12.0,PODUJEVË,0.0,1.0
2020.0,3.0,PRISHTINË,1341370.59,383.0
2019.0,9.0,RAHOVEC,6949.06,1.0
2024.0,4.0,GJAKOVË,21745.8,2.0
2025.0,3.0,PEJË,17058.17,3.0
2025.0,7.0,KLINË,19448.64,1.0
2019.0,5.0,GRAÇANICË,55697.57,2.0
2024.0,6.0,GLLOGOC,5760.3,2.0
2023.0,4.0,ISTOG,9422.22,1.0
