year,month,primary_sector,municipality,registration_status,num_taxpayers,turnover_eur,invalid_reason,year_was_imputed,month_was_imputed,num_taxpayers_was_imputed,turnover_eur_was_imputed,primary_sector_was_imputed,municipality_was_imputed,registration_status_was_imputed,year_month,turnover_eur_log1p
2024.0,6.0,"Aktivitetet e ekonomive familjare si punedhenes; Mallrat dhe sherbimet e padiferencuara, Aktivitetet e ekonomive familjare per perdorim vetanak",PRISHTINË,INDIVIDUAL,1.0,0.0,,False,False,False,False,False,False,False,2024-06,0.0
2023.0,5.0,Bujqesia;Pylltaria dhe Peshkimi,PODUJEVË,SH.P.K.,2.0,19572.22,,False,False,False,False,False,False,False,2023-05,9.881917584412788
2023.0,10.0,Aktivitetet e tjera sherbyese,GJAKOVË,INDIVIDUAL,1.0,5136.3,,False,False,False,False,False,False,False,2023-10,8.54428292860633
2020.0,2.0,Bujqesia;Pylltaria dhe Peshkimi,GJILAN,SH.P.K.,1.0,37350.45,,False,False,False,False,False,False,False,2020-02,10.528127011761896
2021.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SHTËRPCË,INDIVIDUAL,1.0,0.0,,False,False,False,False,False,False,False,2021-07,0.0
2019.0,5.0,Mungon aktiviteti,ZUBIN POTOK,OJQ,2.0,0.0,,False,False,False,False,False,False,False,2019-05,0.0
2019.0,9.0,Ndertimtaria,VITI,INDIVIDUAL,1.0,0.0,,False,False,False,False,False,False,False,2019-09,0.0
2025.0,8.0,Informimi dhe komunikimi,FERIZAJ,INDIVIDUAL,1.0,307.54,,False,False,False,False,False,False,False,2025-08,5.731851494583793
2025.0,3.0,Bujqesia;Pylltaria dhe Peshkimi,MITROVICË,INDIVIDUAL,4.0,0.0,,False,False,False,False,False,False,False,2025-03,0.0
2024.0,11.0,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,MITROVICË,INDIVIDUAL,2.0,15850.26,,False,False,False,False,False,False,False,2024-11,9.671004271413985
2022.0,4.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PODUJEVË,SH.P.K.,4.0,307595.27,,False,False,False,False,False,False,False,2022-04,12.636543390402265
2025.0,5.0,"Aktivitetet profesionale, shkencore dhe teknike",FUSHË KOSOVË,SH.P.K.,5.0,477098.68,,False,False,False,False,False,False,False,2025-05,13.075480720785048
2020.0,11.0,Bujqesia;Pylltaria dhe Peshkimi,DEÇAN,SH.P.K.,1.0,1058.35,,False,False,False,False,False,False,False,2020-11,6.965410791470299
2023.0,6.0,Industria perpunuese,RAHOVEC,INDIVIDUAL,1.0,18424.86,,False,False,False,False,False,False,False,2023-06,9.821510391680608
2019.0,3.0,Industria perpunuese,PRISHTINË,SH.P.K.,1.0,43762.91,,False,False,False,False,False,False,False,2019-03,10.686564784109784
2025.0,7.0,Industria perpunuese,ZUBIN POTOK,SH.P.K.,1.0,18399.45,,False,False,False,False,False,False,False,2025-07,9.82013039981976
2023.0,8.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,PRIZREN,SH.P.K.,30.0,921324.35,,False,False,False,False,False,False,False,2023-08,13.733568510185757
2019.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,OBILIQ,INDIVIDUAL,3.0,37954.59,,False,False,False,False,False,False,False,2019-07,10.544172071054064
2023.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SUHAREKË,INDIVIDUAL,5.0,29769.44,,False,False,False,False,False,False,False,2023-02,10.301271233880446
2023.0,10.0,Transporti dhe magazinimi,KAMENICË,INDIVIDUAL,2.0,29378.42,,False,False,False,False,False,False,False,2023-10,10.28804970821238
2019.0,4.0,Ndertimtaria,MALISHEVË,INDIVIDUAL,1.0,7607.67,,False,False,False,False,False,False,False,2019-04,8.937043665542246
2025.0,2.0,Industria perpunuese,GJAKOVË,INDIVIDUAL,1.0,6938.64,,False,False,False,False,False,False,False,2025-02,8.845005178956542
2020.0,9.0,Industria perpunuese,PEJË,SH.P.K.,3.0,62489.07,,False,False,False,False,False,False,False,2020-09,11.042762943101728
2024.0,1.0,Informimi dhe komunikimi,GJAKOVË,INDIVIDUAL,1.0,1389.83,,False,False,False,False,False,False,False,2024-01,7.237655970220311
2021.0,9.0,Ndertimtaria,VITI,INDIVIDUAL,4.0,8471.5,,False,False,False,False,False,False,False,2021-09,9.044580903481206
2025.0,4.0,Industria perpunuese,KLINË,SH.P.K.,15.0,1131561.53,,False,False,False,False,False,False,False,2025-04,13.93911000545411
2019.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,VUSHTRRI,SH.P.K.,2.0,1182.2,,False,False,False,False,False,False,False,2019-02,7.07597791139659
2024.0,2.0,Informimi dhe komunikimi,FUSHË KOSOVË,SH.P.K.,3.0,15497.4,,False,False,False,False,False,False,False,2024-02,9.648492071772736
2020.0,10.0,Industria perpunuese,MITROVICË,SH.P.K.,1.0,20984.0,,False,False,False,False,False,False,False,2020-10,9.951563175767692
