year,month,registration_status,turnover_eur,num_taxpayers
2023.0,9.0,INDIVIDUAL,0.0,1.0
2019.0,3.0,SH.P.K.,0.0,6.0
2023.0,5.0,SH.P.K.,0.0,1.0
2024.0,7.0,INDIVIDUAL,748982.82,3.0
2020.0,10.0,INDIVIDUAL,8245.42,1.0
2020.0,8.0,SH.P.K.,4407.64,2.0
2020.0,2.0,SH.P.K.,0.0,1.0
2022.0,3.0,INDIVIDUAL,0.0,2.0
2019.0,12.0,SH.P.K.,163063.57,7.0
2025.0,8.0,SH.P.K.,12712.71,5.0
2019.0,6.0,INDIVIDUAL,10020.0,2.0
2023.0,7.0,SH.P.K.,0.0,1.0
2023.0,3.0,INDIVIDUAL,25106.45,8.0
2023.0,10.0,INDIVIDUAL,331838.28,14.0
2020.0,2.0,INDIVIDUAL,444.0,1.0
2025.0,1.0,INDIVIDUAL,1432.2,1.0
2020.0,8.0,INDIVIDUAL,8857.23,2.0
2024.0,10.0,SHOQËRI AKCIONARE,192340.68,1.0
2021.0,10.0,SH.P.K.,52652.91,3.0
2023.0,10.0,INDIVIDUAL,87568.47,9.0
2021.0,5.0,ORTAKËRIA E PËRGJ.,7413.03,1.0
2021.0,11.0,INDIVIDUAL,65358.53,2.0
2023.0,10.0,SH.P.K.,0.0,3.0
2022.0,12.0,INDIVIDUAL,1266.0,1.0
2019.0,1.0,INDIVIDUAL,26530.38,2.0
2023.0,11.0,SH.P.K.,1771.0,1.0
2021.0,8.0,SH.P.K.,10097.1,1.0
2020.0,2.0,INDIVIDUAL,11414.35,3.0
2019.0,4.0,SH.P.K.,42032.8,7.0
2024.0,4.0,SHOQËRI AKCIONARE,0.0,1.0
2024.0,10.0,SH.P.K.,2780845.0,3.0
2020.0,7.0,SH.P.K.,5606.85,1.0
2023.0,9.0,SH.P.K.,190092.93,2.0
2024.0,4.0,INDIVIDUAL,367519.5,14.0
2022.0,10.0,INDIVIDUAL,542310.48,2.0
2024.0,7.0,INDIVIDUAL,50728.74,2.0
2024.0,2.0,INDIVIDUAL,5557.88,1.0
2020.0,3.0,INDIVIDUAL,2150.0,3.0
2023.0,7.0,ORTAKËRIA E PËRGJ.,19743.89,2.0
2023.0,2.0,SH.P.K.,76240.81,3.0
2023.0,2.0,INDIVIDUAL,134123.05,9.0
2025.0,6.0,INDIVIDUAL,1940.0,1.0
2025.0,12.0,INDIVIDUAL,13283.7,4.0
2023.0,7.0,SH.P.K.,165.26,3.0
2021.0,4.0,INDIVIDUAL,26745.1,3.0
2024.0,3.0,INDIVIDUAL,0.0,1.0
